targa,tratta,volte
195847,24-,1
1080937,10-18-23-5-1-12-20-2-16-,1
11924879,20-,1
11921963,23-,1
1270200,19-5-14-,1
191074,21-21-,1
219651,9-26-10-18-23-15-5-8-12-25-20-2-16-4-,1
11938941,9-26-18-23-15-5-,1
434834,21-,1
574601,2-,1
3882649,9-26-10-18-7-6-24-17-23-15-5-8-3-13-,1
942589,23-,1
317732,17-23-15-5-8-3-,1
2739007,17-,1
7626023,11-19-5-8-3-13-22-12-20-16-4-,1
576294,18-23-15-13-,1
10543338,5-,1
11932191,9-26-10-18-23-15-5-8-,1
11555201,9-26-10-18-7-,1
11937085,15-,1
11923190,9-,1
1800672,4-26-23-15-,1
1263535,20-2-16-4-,1
299780,11-12-20-2-16-4-9-18-23-15-5-,1
623616,9-18-23-5-,1
198240,9-7-17-2-16-,1
69906,17-7-,1
1824258,5-,1
1096334,17-7-,1
218064,1-,1
10376203,12-20-26-15-8-3-,1
415485,4-19-,1
97897,19-20-2-16-4-,1
835652,9-26-10-18-7-6-,1
1514390,12-25-20-2-16-4-21-,1
3236990,4-,1
998091,19-2-16-4-9-26-18-23-15-5-14-19-20-2-16-4-24-,1
697589,11-19-20-2-16-4-,1
833777,18-23-5-,1
11948116,4-,1
2227939,5-,1
1930872,22-1-12-25-20-2-16-4-,1
1022833,9-26-18-23-15-5-8-,1
11929102,8-,1
352153,24-,1
224754,6-,1
11943446,26-,1
396943,9-18-23-15-5-8-,1
226648,19-8-3-13-1-12-14-,1
86063,4-,1
273944,12-20-2-16-4-,1
11923105,5-,1
6205945,5-,1
932051,24-17-16-4-,1
5505617,22-1-3-13-,1
112547,9-26-18-23-15-5-8-3-13-,1
61041,21-,2
11927118,14-,1
84297,9-26-10-18-7-,1
1024675,9-,1
11948345,20-16-,1
11638841,9-26-10-18-23-15-5-8-3-13-,1
3478269,9-18-,1
11946591,19-3-,1
2766821,12-25-,1
243973,11-25-20-2-16-4-,1
3868513,19-,1
1089442,14-,1
342850,14-,1
840416,6-,1
11921230,8-,1
91046,2-16-4-21-9-,1
3829984,15-,1
517372,22-13-,1
6973826,24-,1
1520351,9-15-5-8-,1
600021,8-,1
1534901,11-,1
2270720,26-18-23-5-,1
52658,21-,2
272371,9-26-18-23-5-14-,1
50913,21-,1
301990,1-,1
1985843,9-15-5-3-13-,1
979903,24-6-,1
11943956,20-,1
329257,25-20-15-5-,1
41366,24-6-24-6-,1
571724,23-,1
526227,21-,1
649846,11-19-20-16-,1
1407849,16-4-,1
1177923,21-,1
748243,11-19-25-20-15-5-14-,1
307301,17-,1
338427,26-10-18-7-4-,1
11950652,18-,1
2000605,22-,1
1184045,14-,1
11927084,21-,1
11934924,17-,1
453594,22-1-12-25-20-2-16-4-9-26-10-18-23-15-5-8-3-13-,1
11924257,17-,1
1408854,17-,1
216176,19-,1
11927878,11-,1
11942909,11-8-,1
273887,9-18-23-5-,1
448878,22-1-3-13-,1
8585947,8-,1
216642,9-,1
1995719,3-22-1-,1
335713,17-7-,1
3506372,18-,1
348062,24-,1
2440463,17-23-15-5-,1
3827709,9-18-23-5-,1
538171,9-26-10-18-,1
498081,17-,1
11944689,16-,1
3816431,9-26-18-23-15-5-8-3-13-,1
11920887,26-,1
11925954,6-,1
8917359,4-,1
204585,19-8-3-13-22-1-12-14-,2
11881490,9-26-18-23-2-16-4-,1
3066093,16-,1
985125,18-,1
481586,9-26-10-18-23-15-5-8-3-,1
1246533,9-26-10-18-23-15-,1
11933375,22-,1
6452994,1-,1
1011161,4-9-18-,1
36005,11-,2
41506,8-3-13-22-1-12-,1
903451,14-,1
11937609,9-10-18-23-5-,1
1087991,8-3-13-,1
86182,21-,1
185029,21-,1
11930299,23-,1
11941954,8-,1
1549908,21-,1
93126,19-8-,1
5725180,4-,1
733744,1-12-,1
154707,20-,1
193158,9-,1
1692498,1-,1
997859,9-26-18-23-15-5-19-20-2-16-4-,1
167818,6-24-,1
96625,9-,2
25134,9-26-18-23-15-5-8-,1
369508,24-,1
7418370,5-,1
34924,17-,1
84056,12-25-20-2-7-6-9-26-10-18-23-15-5-8-,1
249126,4-,1
11938095,9-,1
59621,24-,2
186200,19-25-20-,1
5958654,18-,1
11938313,24-,1
633474,2-16-,1
681151,7-,1
10172658,11-,1
6515398,4-,1
5945573,9-26-4-21-,1
985694,4-,1
1259658,6-,1
261628,26-10-23-15-5-14-,1
841140,27-,1
6525237,9-26-10-23-15-5-8-3-13-,1
438804,21-,1
459587,6-,1
6521341,23-5-,1
88155,23-15-5-8-3-13-1-12-25-20-2-7-,1
6501104,5-,1
48414,17-7-,1
355934,22-1-12-14-11-19-8-3-13-,1
146968,9-26-10-23-15-5-8-,1
847268,27-9-26-10-23-15-5-14-11-19-25-20-2-16-4-21-,1
6502369,8-,1
142588,9-10-7-,1
6271179,20-,1
438614,22-,1
217260,24-17-,1
2942180,26-10-,1
607106,26-10-23-15-5-,1
6513539,7-6-,1
6517661,27-,1
49456,19-8-3-13-22-1-12-14-,1
6510516,2-,1
746651,22-1-12-14-19-8-3-13-,1
5705290,27-9-26-10-23-15-5-14-,1
451108,19-25-20-2-16-4-,1
998151,9-10-23-,1
5635090,22-1-12-20-2-16-4-,1
6511188,2-,1
487626,17-,1
6516647,21-,1
6525223,20-,1
2512787,9-,1
730704,11-,1
6516303,5-,1
6512723,12-,1
6516911,6-,1
6523081,10-,1
672087,21-,1
6524194,9-,1
519598,19-8-3-13-1-12-14-,1
548989,9-26-10-23-,1
2289808,15-5-14-19-25-20-,1
830984,7-17-,1
2172098,27-9-26-10-23-17-23-15-5-14-19-20-2-16-4-21-,1
196406,27-21-,2
526409,22-1-12-14-,1
6520579,26-10-23-15-5-8-3-13-1-12-25-20-2-16-4-,1
65532,27-9-,1
46680,9-26-23-15-5-14-,1
2890059,21-27-,1
699235,9-,1
41868,27-,1
754953,27-9-26-10-15-5-14-,1
417226,15-,1
2552383,1-16-,1
185738,26-10-23-15-5-8-3-13-,1
1473903,4-,1
213657,11-19-8-1-12-25-20-2-7-17-23-15-5-14-,1
372956,9-13-,1
6529857,23-,1
830434,7-,1
6510657,15-,1
166982,9-26-4-,1
87153,26-10-7-17-16-4-21-,1
61027,26-10-23-15-16-4-,1
6500838,6-,1
345870,9-26-10-18-23-15-8-,1
6526178,19-8-,1
6039673,20-,1
21017,16-4-,1
5777768,3-24-,1
5811968,8-,1
6508028,10-,1
817247,22-1-3-,1
205765,6-24-,1
91647,27-,1
5839685,26-23-8-13-,1
5698917,22-,1
62750,19-3-14-14-,1
83531,21-,1
225710,17-7-,1
339159,7-,1
6513043,22-,1
200209,19-15-5-14-,1
228659,3-13-1-,1
6509033,20-,1
1185480,17-16-4-,1
1024492,19-14-,1
6455901,2-,1
6532270,27-,1
1380122,4-21-,1
6525920,13-,1
5761030,11-,1
5759748,5-,1
5816844,9-26-10-23-5-8-3-13-22-1-12-20-2-16-4-,1
1093686,4-,1
6501688,4-,1
1780648,19-,1
272630,9-,1
6514961,22-1-12-25-20-2-16-4-,1
510867,7-,1
2825926,11-20-16-4-21-,1
5650747,21-,1
6527869,14-3-,1
6019979,9-,1
744064,27-,1
244170,26-23-15-5-8-3-13-,1
228717,9-26-10-23-15-5-8-3-13-1-12-20-2-16-4-,1
6506803,8-,1
47457,9-4-5-,1
6527346,6-,1
1300637,26-10-23-15-5-,1
90432,6-27-9-26-10-23-15-5-14-,1
1263691,12-14-19-8-,1
112870,1-8-13-,1
6531954,11-19-8-,1
730633,9-5-8-13-,1
591492,21-,1
1321441,16-27-,1
5856918,21-27-,1
6504098,13-,1
6506526,8-,1
797811,10-,1
6529849,5-,1
88947,6-24-,1
3849202,22-,1
71329,22-13-,1
2804404,27-,1
6518186,21-,1
651231,14-,1
2769478,22-1-12-25-,1
6017060,26-23-5-,1
480638,9-26-5-13-,1
2002984,21-,1
47039,1-12-5-8-3-,1
1831443,26-15-3-,1
816873,21-,1
69003,11-19-8-3-13-,1
128173,9-26-10-23-15-5-8-3-13-,1
455436,8-3-13-22-,1
3459642,16-4-27-9-10-,1
185117,9-,1
422215,24-6-,1
6519434,19-,1
337960,7-17-,1
609445,10-23-15-20-2-16-4-21-,1
6509245,13-,1
621275,1-20-,1
210005,21-,1
6516992,17-16-4-,1
51390,1-12-14-19-8-3-,1
4236743,1-12-20-2-16-4-,1
86093,6-24-11-19-8-12-,1
3107490,23-,1
93800,19-8-3-13-1-12-14-,1
6520882,12-25-20-2-16-4-,1
6515866,1-12-25-20-2-16-4-9-26-10-23-15-5-8-3-,1
202755,24-,1
6526125,15-,1
35636,26-23-5-,1
92977,19-25-20-2-7-6-27-9-26-10-23-15-5-14-,1
424002,27-21-,1
1336836,21-,1
6521226,12-,1
3369550,9-26-10-23-15-5-,1
3992071,22-1-12-20-2-16-4-,1
747547,13-22-,2
448023,6-,1
2752046,9-26-23-15-5-8-3-13-,1
228793,27-9-26-,1
6531125,9-26-10-23-15-5-,1
680552,4-,1
450256,26-10-23-15-5-8-,1
345048,27-9-,1
336777,27-9-26-10-23-15-20-2-16-4-21-,1
938557,7-,1
6519732,24-,1
5828054,26-10-23-15-5-8-3-13-22-1-12-14-19-25-20-2-16-4-,1
328622,17-7-,1
6528895,5-,1
705513,9-,1
221148,6-,1
2283736,6-27-9-26-10-7-,1
5772863,10-,1
5845911,12-2-4-,1
2562335,1-12-14-,1
6518601,16-,1
343116,4-21-,1
6505447,20-,1
31309,17-7-,2
937718,22-1-12-20-2-16-4-,1
1826307,16-,1
201849,21-,2
72086,21-,1
521260,14-,1
83751,17-23-15-5-14-,1
730942,9-3-,1
63634,19-,1
436226,6-24-,1
6515069,23-,1
63043,7-17-,1
730057,7-17-,1
2062091,24-17-23-15-5-14-,1
5915343,9-15-8-12-20-,1
563566,1-20-16-4-,1
105254,13-,1
6253638,22-12-25-2-16-4-,1
246011,13-,1
5614436,27-,1
6159168,27-9-26-10-23-15-5-14-6-,1
5608913,21-27-9-,2
6517407,9-,1
300701,10-23-,1
935153,19-8-3-12-14-,1
6240431,12-25-20-2-7-,1
131988,2-16-,1
1677862,19-8-3-13-,1
604093,21-,2
116960,20-2-16-4-9-26-10-23-15-5-,1
2234537,12-20-16-,1
66105,19-14-,1
352148,22-1-12-16-4-,1
220205,21-,1
6511284,15-,1
6525874,20-2-26-10-5-8-13-,1
6525742,15-5-8-,1
4514253,6-24-,1
481646,11-19-20-2-7-6-24-17-23-5-14-,1
2891363,27-9-26-10-16-4-21-,1
6502252,10-,1
716276,16-,1
1187245,22-1-12-20-15-5-8-3-13-,1
587364,24-,1
892957,4-,1
1087024,11-19-,1
1546547,21-,1
686964,6-,1
4320119,9-26-10-23-15-5-8-3-13-,1
5820469,7-17-16-,1
1690856,15-14-,1
1664701,21-,1
105289,26-26-,1
58077,14-19-,1
6510684,20-,1
5615830,27-9-26-10-23-15-5-14-,1
651435,24-,1
3301848,1-12-25-20-2-16-4-,1
6501915,14-,1
5684437,27-,1
36738,19-8-3-13-,1
6519904,20-2-,1
187900,24-17-23-,1
6529471,16-,1
143435,22-,1
452793,9-26-10-7-17-16-4-,1
904682,26-15-5-,1
394407,27-,1
6511625,27-10-,1
2059738,11-19-14-,1
3320907,24-,1
2775764,27-9-26-10-,1
44264,7-17-,2
2387017,24-6-,1
349525,1-,1
6197526,17-,1
6530625,9-,1
182387,27-21-27-,1
183591,21-,2
94735,21-,1
919727,27-9-26-10-23-15-2-,1
6510878,15-,1
6517237,9-,1
1417747,21-,1
2963818,12-,1
6514616,15-,1
1068859,24-,1
725568,26-,1
677609,27-,1
6515674,22-,1
85072,9-26-10-23-15-5-8-3-13-,1
3289908,24-17-23-15-5-,1
6532287,26-,1
6512033,24-,1
70537,1-,1
1547976,17-23-,1
5832677,12-25-20-2-16-4-,1
206882,1-12-20-15-5-8-3-,1
6507037,21-,1
42398,19-20-2-16-4-,1
750072,21-,2
221647,15-5-14-11-19-25-20-,1
225884,15-5-14-19-,1
1720307,12-,1
6528165,19-,1
2435963,27-,1
5751210,19-8-3-13-1-12-,1
519472,23-2-23-15-5-14-,1
68114,21-,1
5617271,21-,1
37889,7-,1
664870,19-8-12-14-,1
5735602,27-26-10-23-15-,1
6513753,12-4-,1
679179,22-1-12-14-11-19-8-3-13-,1
680441,21-27-,1
6526403,2-,1
3050509,15-,1
6526482,23-3-13-,1
5778533,15-,1
248381,9-26-10-23-15-5-8-3-13-,1
6520040,26-,1
6510655,16-4-,1
6503621,4-,1
691539,20-,1
1771793,9-26-10-23-15-5-8-3-13-22-1-12-25-20-2-16-4-,1
5619282,9-26-10-23-15-5-8-3-,1
5837081,10-15-5-14-,1
79315,22-1-3-13-,1
52311,7-,1
599899,26-10-23-15-5-14-19-25-20-2-16-4-21-27-,1
5616377,11-19-8-12-14-,1
90203,19-14-,1
6509046,12-,1
797309,24-,1
6506821,12-,1
4135109,20-,1
43386,13-22-,1
680956,9-26-10-23-15-5-14-,1
295385,1-,1
399737,12-20-2-16-4-,1
6504436,1-,1
40568,21-,1
2973882,1-,1
6503397,3-,1
6513752,9-,1
20295,9-,1
799929,9-18-,1
6520683,9-,1
6517546,9-,1
6530134,14-,1
6516710,21-,1
6512597,19-,1
6523456,4-,1
299325,7-17-,1
3088014,20-,1
528854,24-19-25-20-2-7-,1
446537,27-9-26-,1
2514898,9-26-10-23-15-14-,1
822763,1-12-14-,1
1542560,9-8-,1
4673029,23-5-3-13-,1
675272,6-,1
5742357,7-6-24-,1
6522096,27-9-,1
6507380,6-,1
5670004,22-1-12-20-2-16-4-,1
6531996,20-,1
1695409,23-,1
36760,6-,1
6520842,10-,1
351658,9-26-4-,1
1048422,9-26-10-23-15-5-8-3-13-,1
2025907,10-,1
54072,17-23-15-5-8-3-1-12-20-16-,1
190592,11-20-2-16-4-,1
2343222,19-8-3-13-22-1-12-14-,1
6507832,9-,1
64930,21-,1
5791612,2-,1
195523,7-17-,1
1422043,6-24-,1
4407026,17-7-,1
1672629,16-4-9-,1
6512527,15-,1
118699,25-5-,1
5756454,12-25-20-2-16-4-,1
2923212,27-,1
229399,24-,1
6505115,26-23-,1
191728,21-,1
6502650,20-2-,1
6511693,9-,1
1717502,26-,1
6513445,4-,1
5856973,21-,1
204191,9-26-10-23-15-5-8-3-13-22-1-12-25-20-2-16-4-,1
769495,9-26-10-23-15-5-14-,1
1334330,17-7-,1
65999,15-2-16-4-,1
6528510,9-,1
2255523,21-,1
6508332,14-,1
698065,9-5-3-13-,1
454745,14-19-,1
3235662,19-25-20-,1
1671084,21-27-9-,1
434050,11-19-20-2-16-4-9-26-10-23-15-5-14-,1
176588,19-8-3-,1
754190,21-,1
680555,21-,2
2625329,1-,1
656047,9-,1
421200,8-3-1-12-16-,1
187971,22-1-12-25-20-15-5-8-3-13-,1
94494,22-1-12-20-2-16-4-27-9-26-10-23-15-5-8-3-13-,1
6526447,16-,1
445464,27-9-,1
293026,14-,1
70307,10-7-,1
1175793,3-13-22-1-,1
6532137,12-25-2-,1
53673,17-,1
5617514,24-,1
6529902,23-,1
3187599,9-26-10-23-15-5-14-2-16-4-,1
66806,21-27-,1
88117,12-25-20-2-16-4-21-,1
36077,7-,1
6516252,2-,1
5758792,26-,1
1512390,2-,1
35219,21-,1
6061306,12-,1
6182603,1-,1
6514941,24-,1
477814,9-26-10-23-15-5-,1
914358,1-12-25-20-2-7-,1
437289,5-,1
194407,7-17-,1
6507867,15-,1
510223,24-,1
1666927,21-27-9-26-10-23-15-5-20-2-16-4-,1
571232,2-,1
6515321,15-5-8-,1
5614259,24-,1
5742289,22-1-12-14-6-,1
44267,21-,2
68415,11-19-25-20-2-16-4-9-26-10-23-15-5-14-,1
174428,5-8-1-12-,1
1595095,10-15-5-14-11-25-20-2-4-,1
6512497,11-25-4-10-14-,1
23732,26-10-15-5-8-3-13-1-12-20-2-16-4-,1
2488355,9-,1
6506328,14-,1
207638,21-27-9-26-10-23-2-16-4-21-,1
1015781,9-26-10-23-15-5-8-11-19-20-2-16-4-,1
100001,20-16-,1
748975,17-7-,1
6502819,1-,1
5690210,3-,1
742040,9-26-10-23-15-5-14-,1
6471982,23-,1
1126137,19-2-16-4-,1
1665133,27-21-,1
5606274,9-,1
5750149,19-8-3-13-22-1-12-14-,1
487211,11-19-,1
2335750,21-,1
49904,13-,1
450929,21-27-,1
202600,23-15-5-19-25-20-2-16-,1
321236,22-1-12-14-19-8-3-13-,1
6531395,8-,1
477793,22-1-12-25-20-2-16-4-,1
6508876,27-,1
1612766,12-20-,1
6504904,13-,1
3467834,17-,1
136802,24-6-,1
5979539,22-1-12-25-20-2-16-4-21-,1
1191791,24-,1
3331336,21-,1
735487,6-,1
938900,19-5-14-,1
342980,22-1-12-14-,1
102681,27-9-10-15-,1
1228291,22-1-12-20-2-16-4-,1
420866,27-9-10-23-,1
1024429,7-,1
166744,27-9-26-10-15-5-,1
316837,26-10-7-17-16-4-,1
1575679,20-,1
6510269,12-,1
5701071,21-,1
221068,11-19-25-20-2-7-17-23-15-5-14-,1
1265907,17-7-,1
55006,27-9-26-4-21-,1
5833843,9-26-10-23-15-5-8-,1
346643,6-24-,1
1777574,19-25-20-2-16-4-21-,1
6530096,1-12-20-2-16-4-,1
1944125,9-26-10-,1
6516150,13-,1
105266,9-,1
154470,9-,1
76594,21-,1
6505300,1-,1
1024759,27-9-26-10-23-15-5-14-,1
88263,19-8-3-13-22-13-1-12-14-,1
437357,27-21-,1
6342016,20-2-7-6-27-15-,1
2256442,26-5-,1
426680,9-10-18-23-15-5-8-,1
6510832,21-,1
255489,10-,1
4531095,9-26-10-23-15-5-14-19-20-2-16-4-,1
427363,8-3-22-1-12-16-,1
6530914,11-19-20-2-16-4-,1
224660,7-,1
337881,21-,1
5608165,9-,1
6511784,12-25-20-2-16-4-,1
1646297,13-,1
91044,24-,1
5966759,9-26-10-15-5-8-3-13-,1
6504175,3-,1
6518846,12-25-20-2-16-4-,1
140787,11-19-8-3-13-22-1-12-20-2-16-4-9-26-10-23-15-5-14-,1
5648418,19-12-14-,1
2180759,9-,1
20939,9-15-5-14-,1
2057050,21-27-9-,1
6521707,12-25-20-2-16-4-21-9-26-10-23-15-5-8-,1
1839065,27-9-26-10-23-15-5-8-,1
5880351,1-2-,1
18275,12-20-2-16-,1
6500900,9-,1
2988240,19-8-3-13-22-1-12-,1
5617421,9-10-7-17-16-4-21-,1
6513786,4-,1
4216362,5-,1
1179569,14-,1
86707,19-8-3-13-22-1-12-14-,1
5615458,10-7-,1
6504116,16-,1
620714,4-,1
3799357,6-,1
11338,5-,1
393068,9-,1
794270,16-,1
6508035,23-,1
31401,7-17-7-17-,1
198052,6-24-,1
6514210,9-26-10-7-6-,1
1000657,21-21-21-,1
757971,24-,1
6509593,27-23-15-5-,1
6523067,10-,1
1663629,21-,1
51229,9-26-10-23-15-5-14-19-8-3-13-12-25-20-2-16-4-,1
348538,21-,1
3537071,6-24-,1
72659,17-16-4-26-10-7-,1
1479364,1-2-,1
189936,17-,1
6517655,9-26-10-23-15-5-8-3-13-,1
85544,15-5-14-19-20-,1
6529649,23-,1
1023998,16-,1
6507381,8-,1
6527473,9-,1
5878405,9-,1
51383,12-14-,1
2542781,1-,1
134945,12-20-7-,1
6529554,14-,1
709496,26-,1
592133,9-26-10-17-16-4-,1
2343065,21-,1
83656,19-8-3-13-22-1-,1
3005629,22-1-12-25-20-2-16-4-21-27-9-26-10-23-15-5-8-3-13-,1
1671165,21-,1
6264262,22-,1
64085,20-2-7-17-23-15-,1
6511495,5-,1
202593,17-23-15-5-8-1-12-25-20-2-7-,1
6500432,5-,1
439467,21-27-,1
2923321,27-,1
981597,15-,1
702607,12-,1
3031919,21-,1
421663,26-10-7-17-16-4-,1
6163299,27-9-26-10-7-17-16-4-21-,1
76708,19-25-2-16-4-9-26-10-23-15-5-1-12-25-20-,1
2991795,7-17-,2
76461,12-20-2-16-4-26-10-23-15-5-8-,1
328263,6-24-6-24-,1
845207,23-15-5-,1
362827,12-25-20-2-16-4-,1
6532175,2-,1
272319,27-,2
6525257,1-,1
6521687,12-8-,1
210205,17-,1
756772,24-9-,1
744608,1-12-14-19-8-3-,1
6506761,23-,1
901814,27-26-10-,1
255617,16-,1
2491324,20-,1
6521244,3-,1
39320,26-19-,1
1734309,22-,1
1813782,9-,1
6528173,5-,1
6500656,9-15-,1
6500414,23-,1
4375897,11-2-4-,1
196018,27-,1
6526807,13-,1
2378514,23-5-14-,1
6528695,22-1-8-3-13-,1
2911599,20-,1
49594,19-20-15-5-14-19-8-3-13-,1
6504008,9-,1
2696706,4-,1
6523946,27-,1
186473,24-,2
6376030,23-,1
929127,24-17-23-15-20-2-7-6-,1
6519495,11-19-25-20-2-16-4-21-,1
683904,22-1-12-25-20-2-16-4-,1
6508528,20-,1
67330,17-,1
1967103,21-,1
6512354,13-,1
1557568,21-27-26-10-23-15-20-2-16-4-,1
5000058,9-26-10-23-15-5-8-3-13-22-1-12-25-20-2-16-4-,1
1079304,21-,1
34086,1-12-25-20-2-15-5-8-3-13-,1
891395,5-,1
3017883,1-12-20-2-16-4-,1
6525547,26-,1
604765,9-26-10-23-15-5-8-3-13-22-1-12-20-2-16-4-,1
76012,24-,1
915284,24-,1
1185234,2-16-4-,1
2529694,13-,1
990819,15-,1
2255958,1-,1
5562867,27-,1
184368,24-,1
6523330,20-,1
68256,1-,1
426396,21-27-,1
83835,9-26-10-15-20-2-16-4-,1
2651078,27-9-10-16-4-21-,1
77266,24-,2
76547,27-,1
6504107,24-,1
627505,22-2-16-4-,1
2696537,10-23-15-,1
28765,21-27-,1
73804,4-,1
230863,22-1-3-13-,1
6136057,16-4-,1
657607,1-12-20-2-16-4-,1
419903,6-,1
4270292,6-,1
1003293,22-1-12-20-2-16-4-,1
757133,27-21-,1
6512938,4-21-27-9-26-,1
602951,9-26-10-23-2-16-4-,1
1193744,14-19-,1
6508898,11-,1
78917,13-,1
678170,21-,1
6503915,7-,1
623152,10-,1
6511230,23-,1
72472,22-1-12-20-2-7-17-23-15-5-8-3-13-,1
5614186,4-,1
6513927,7-,1
31939,6-,1
5970992,13-,1
2814035,9-26-10-23-15-5-8-19-25-20-2-16-4-,1
6502465,20-,1
6509664,14-,1
597520,6-24-,1
2439135,21-27-,1
451376,27-9-21-,1
373024,3-,1
5749149,27-,1
85793,21-21-,1
816461,20-16-4-26-23-15-,1
562706,8-8-,1
425152,23-15-5-8-,1
740094,21-,1
1548599,20-2-16-23-15-,1
2604122,17-16-4-21-27-9-26-10-7-,1
151916,14-,1
6521418,10-,1
221088,22-1-12-14-19-8-3-13-,1
6519853,21-,1
79729,6-27-9-26-10-23-15-5-,1
1219222,12-,1
457047,27-9-21-21-,1
1085436,1-12-14-,1
3276178,12-,1
90144,8-3-13-22-1-12-,1
162356,10-,1
3772271,2-,1
1012306,24-17-23-15-5-8-3-,1
112859,9-,1
6529811,20-,1
911080,5-,2
4813548,9-26-10-23-15-5-14-,1
442101,15-5-8-3-13-22-1-12-25-20-,1
258716,20-2-16-4-,1
6530506,1-5-13-,1
2804424,22-1-12-20-2-16-4-,1
415600,17-16-4-,1
6528964,22-,1
1653388,19-21-,1
190481,10-23-15-20-2-16-,1
48962,26-10-23-15-5-8-3-1-12-25-20-2-16-4-,1
93594,27-9-21-,1
2290562,23-15-5-14-19-25-20-2-16-,1
63801,27-21-,2
6501886,13-,1
216940,12-,1
6503726,16-,1
6529686,15-,1
49557,14-19-,1
821780,7-17-,1
1263251,11-19-8-,1
81936,21-,1
737140,21-,1
334620,1-12-25-20-2-16-4-,1
6336457,22-1-12-14-19-8-3-13-,1
5616264,17-23-15-5-8-12-25-20-2-7-,1
5746248,27-9-,1
1750953,2-,1
6517831,11-19-20-2-16-4-,1
6513221,2-16-4-26-10-23-15-,1
1683931,22-,1
191405,25-20-2-16-23-,1
3183332,24-17-23-15-5-8-3-22-1-12-20-2-16-4-21-,1
333529,14-,1
1850156,23-,1
218907,21-21-,1
1410852,24-,1
31813,15-5-14-19-,1
6513142,13-,1
196625,14-19-,1
5633433,22-1-,1
40722,22-1-3-13-,1
71319,17-7-,1
6519340,12-,1
6510253,5-,1
933877,27-9-,1
6523738,20-,1
258831,5-,1
1723736,21-27-21-27-,1
4214853,9-,1
209181,21-,1
6525145,22-3-,1
6511004,23-,1
203103,6-24-,1
430520,27-,1
95859,19-8-3-13-12-14-,1
750966,21-,1
6514339,25-16-,1
424851,12-25-20-16-24-17-23-,1
5652916,24-6-,1
1588410,7-,2
1190799,21-,2
45006,22-1-12-14-19-8-3-,1
81887,19-25-,1
6530427,12-,1
561258,11-,1
2047716,27-,1
6342815,9-26-4-,1
6505894,19-,1
6517599,21-,1
819779,19-25-20-15-5-14-,1
850401,1-12-25-20-2-16-4-9-26-10-23-15-5-8-3-,1
1564,10-23-15-5-8-12-20-2-16-4-,1
602455,9-7-16-4-,1
602068,19-8-3-13-22-1-12-14-,1
1790160,16-4-,1
270403,22-1-12-20-2-16-4-,1
81746,12-25-20-2-16-4-26-10-23-15-5-8-,1
1611283,19-8-,1
189708,17-16-4-26-10-7-,1
355575,1-12-25-20-16-4-,1
214612,17-16-4-24-,1
2331503,9-26-15-5-3-13-,1
6502884,27-,1
397989,10-8-,1
6147816,19-,1
1200,7-,2
5761536,12-20-2-16-4-,1
268,27-9-26-10-9-26-10-23-15-5-14-,1
5794046,19-,1
1180889,20-2-16-4-,1
55143,9-26-10-23-15-5-8-3-13-22-1-12-20-2-16-4-,1
52827,27-9-26-10-23-15-5-8-12-24-,1
6517359,9-,1
23815,6-24-,1
96769,21-,2
6513479,9-,1
6520870,21-,1
64056,21-,1
5924506,17-,1
4299244,6-,1
2441763,24-6-,1
1672798,9-26-10-4-,1
6501105,20-,1
622186,1-20-2-16-4-23-15-5-8-,1
57796,24-6-,2
264887,16-,1
634729,26-,1
6505649,4-,1
4172503,21-,1
90517,21-,2
732691,12-20-2-16-,1
2328566,20-,1
1836817,27-9-21-,1
104308,11-8-3-,1
5627479,5-,1
6508849,5-,1
6501412,9-,1
2847386,9-26-10-23-15-5-14-11-19-25-2-16-4-,1
3328,9-,1
6522885,15-,1
273898,9-26-10-23-15-5-14-,1
858249,9-8-,1
85687,22-12-,1
226613,24-,1
515609,14-19-,1
901896,12-20-2-16-4-21-,1
27080,21-,1
3550481,27-9-26-10-23-15-5-14-19-20-2-16-4-,1
6265015,22-1-12-25-20-2-16-4-,1
1909604,12-,1
177608,9-26-10-7-17-23-15-5-8-20-2-16-4-21-,1
65795,17-7-,1
329059,22-1-3-13-22-1-3-13-,2
291693,11-19-20-2-16-4-,1
6523033,4-,1
6524562,11-2-4-21-,1
5618061,9-26-10-7-,1
208151,8-3-1-12-,1
676438,27-9-26-10-23-15-5-14-,1
913262,17-7-,1
5626151,1-20-2-16-,1
1715805,9-26-10-15-8-,1
432344,15-5-14-,1
2293991,17-21-,1
6510332,2-,1
1665830,22-12-2-16-4-,1
6527607,5-,1
22993,2-7-6-26-10-,1
1184351,27-9-26-10-23-15-5-14-,1
6528331,21-,1
2851550,24-,1
14964,1-,1
1748641,1-20-,1
306485,22-1-12-20-2-16-4-,2
5743413,19-8-12-14-,1
538971,8-3-13-22-1-12-,1
6517704,2-16-,1
5627361,22-1-12-25-20-2-16-4-21-,1
2985424,22-1-12-20-2-23-15-5-8-3-13-,1
2251453,17-23-15-5-14-11-19-25-20-2-16-4-,1
1047504,12-,1
57882,1-12-14-,2
6514341,1-,1
6459246,23-,1
608007,24-,1
1569130,9-26-5-,1
3959475,1-12-14-11-19-8-3-,1
324391,22-13-,1
1604233,27-9-26-10-23-15-5-8-3-13-1-12-25-20-2-16-4-21-,1
5387201,2-16-4-,1
725075,4-,1
6515942,21-,1
5610854,21-21-,1
5615877,21-,1
54948,17-7-,1
204212,17-7-,1
796996,15-,1
