targa,tratta,volte
6605478,11-25-20-2-,1
427894,21-,2
6601450,9-,1
58649,4-9-26-10-,1
810340,1-12-20-2-16-4-26-10-23-15-5-8-13-,1
74576,24-,2
1657125,3-,1
2410053,9-10-23-15-5-3-13-,1
6501957,20-4-,1
6582802,9-11-20-,1
37334,7-17-,1
6599198,13-1-14-,1
6594981,16-,1
6104518,24-,1
6531901,4-,1
604743,7-,1
6592691,9-,1
1375711,9-23-15-5-,1
5936238,16-,1
71428,14-,2
3149833,19-14-,1
451823,24-7-,1
189078,9-10-23-15-5-3-13-,1
922599,27-,1
222431,8-3-13-,1
447177,9-26-10-,1
1577543,10-,1
5743129,24-17-7-,1
6280640,21-,1
1782609,22-1-12-14-11-19-8-3-13-,1
3268920,21-,1
1926768,9-26-23-15-8-13-,1
6596602,25-20-2-16-4-,1
208869,19-14-,1
6602657,26-,1
6594237,9-26-10-23-15-5-14-19-20-2-16-21-,1
2767595,25-20-2-16-4-9-26-10-23-15-5-14-,1
1479239,9-10-15-5-,1
1676871,27-27-,2
2054280,6-,1
350121,22-1-12-25-20-2-15-5-8-,1
740480,22-,1
2318863,19-,1
4008709,10-,1
70873,11-19-25-20-2-16-4-9-26-10-23-15-5-14-,1
5744360,27-9-26-10-23-15-5-8-3-13-22-1-12-20-2-16-4-21-,1
116354,1-,1
6597412,9-7-6-,1
12070,19-,1
1406870,1-12-14-,1
526718,12-2-16-4-21-,1
2891903,2-16-4-,1
88461,9-26-10-23-15-20-2-16-4-,1
6595069,8-,1
3128810,16-,1
194376,1-12-14-,1
2006850,21-21-,1
596261,5-8-3-,1
68451,27-9-21-,1
220469,8-12-,1
38566,22-,1
1006704,21-,1
5596188,20-,1
1665761,3-,1
77852,26-10-7-17-16-4-,1
455290,9-26-10-23-15-,1
251020,6-,1
115040,9-23-8-,1
625605,20-,1
815078,21-,1
248281,15-8-,1
225082,21-,1
6590527,7-,1
5767091,26-23-15-8-3-,1
2217980,19-,1
1997908,24-6-9-26-4-21-24-6-,1
92011,7-17-,1
6609189,27-9-26-10-15-5-8-3-13-,1
841354,14-,1
3033919,17-,1
675063,21-27-,1
453097,17-23-,1
